SMR No.,Class,Townland,ITM Easting,ITM Northing,Irish Grid Easting,Irish Grid Northing,lon,lat
WI021-032----,Stone circle - embanked,CASTLERUDDERY LOWER,691527,694245,291596,194210,-6.63671683,52.99111028
WI027-039----,Stone circle - embanked,BOLEYCARRIGEEN,693431,689280,0,0,-6.60979829,52.94617202
DU024-027002-,Stone circle,BALLYMANA,706377,723765,306449,223736,-6.40583006,53.25357115
DU024-028----,Stone circle,BALLYMANA,706445,723832,306517,223803,-6.40478904,53.25415943
DU025-046----,Stone circle,BALLYEDMONDUFF,718524,721756,318599,221727,-6.22463273,53.23295248
KD029-023----,Stone circle,BROADLEAS COMMONS,692925,707609,292995,207577,-6.6120473,53.11094186
KD029-032----,Stone circle,WHITELEAS,692651,706791,292721,206759,-6.61637447,53.10364004
KD032-026002-,Stone circle,BREWEL WEST,683221,701295,283289,201261,-6.75858294,53.05581063
WI005-005----,Stone circle,BALLYFOYLE,703407,716090,303479,216060,-6.45280778,53.18520694
WI005-014----,Stone circle,BLESSINGTON DEMESNE,696936,714595,297006,214564,-6.55004593,53.1729932
WI015-010----,Stone circle,ATHGREANY,692962,703263,293032,203230,-6.61275138,53.07188802
WI015-018----,Stone circle,FORRISTEEN,688411,701334,288480,201300,-6.68117419,53.05532822
WI015-037----,Stone circle,TORNANT UPPER,687481,699941,287549,199907,-6.69542109,53.04296499
WI015-088----,Stone circle,PLEZICA,690157,701111,290226,201077,-6.65519928,53.05303309
WI016-020001-,Stone circle,TOOR,695882,702359,295952,202326,-6.56946077,53.06325014
WI016-020003-,Stone circle,TOOR,695878,702168,295948,202135,-6.56957729,53.06153481